Sandra Thompson 5 7 5
Anthony Green 4 5 4
Sarah Hernandez 3 5 7
Emily Torres 5 4 8
Matthew Smith 8 3 4
Linda Moore 6 6 8
Karen Robinson 6 5 6
Barbara Flores 5 4 5
Mary Brown 6 4 6
Karen Clark 9 5 7
Richard Green 6 6 5
Steven Anderson 9 5 5
Charles Allen 5 5 5
James Sanchez 4 4 8
Anthony Lee 3 5 4
William Harris 6 8 6
Patricia Nguyen 7 7 4
Karen Harris 4 3 7
William Walker 8 5 6
Charles Wright 5 5 4
Sandra Martinez 4 5 7
Nancy Hill 5 7 4
Elizabeth Smith 7 4 6
William Lewis 7 6 0
William White 6 6 7
Jennifer Green 5 7 6
Sandra Anderson 6 5 5
David Davis 7 6 6
Donna Jackson 6 4 6
Christopher Jackson 5 7 6
Thomas Brown 5 5 7
Sarah Nguyen 4 4 7
Betty Harris 6 6 7
Richard Hill 4 5 3
Joseph Smith 5 5 4
Michelle Clark 7 4 9
Thomas Jones 6 6 4
William Taylor 5 8 4
Donald Anderson 8 6 4
Donna Allen 7 6 8
Jessica Ramirez 4 5 5
Mark Garcia 4 5 4
Richard Miller 4 6 7
Donna Thomas 5 3 6
Karen Hill 8 6 5
Richard Johnson 5 5 5
David Johnson 8 7 9
Sandra Clark 3 5 5
Daniel Thomas 5 3 8
Emily Moore 5 5 8
Elizabeth Thompson 5 6 6
John Davis 7 7 4
Robert Hernandez 6 6 2
James Clark 6 6 4
Thomas Flores 6 4 7
Sarah Miller 6 5 4
Jennifer Davis 2 5 3
Patricia Lee 4 5 7
Jessica Torres 4 4 4
William Nguyen 6 6 6
David Harris 6 7 4
Mark Harris 6 5 4
Richard Lewis 4 7 5
Elizabeth Robinson 4 6 4
John Allen 8 4 6
William Smith 7 4 6
Nancy Williams 4 4 7
Donald Young 5 7 7
Kimberly King 5 8 6
Charles Thomas 6 3 8
John Hill 5 6 5
Barbara Walker 7 5 6
Linda Lewis 5 7 7
Robert Jackson 5 5 5
Mark Robinson 6 5 6
Donald Allen 4 6 3
Thomas White 8 4 6
Andrew Martin 5 6 8
Patricia White 8 7 4
Jennifer Torres 6 7 5
Linda White 4 4 8
Emily Green 8 4 4
John Lewis 5 6 8
Donna Martinez 7 6 2
Andrew Lopez 7 7 5
Donald Torres 6 8 4
Mark Wright 3 6 5
Robert Miller 7 3 4
Steven Scott 7 5 4
Elizabeth Ramirez 6 4 5
Mary Flores 7 5 7
Charles Lewis 5 5 6
Mark Taylor 6 7 6
Nancy Gonzalez 6 5 4
Jessica Clark 4 8 5
Mary Wilson 7 6 1
Anthony Robinson 8 4 5
Joseph White 4 7 4
Donald Green 4 4 7
James Miller 4 6 6
Robert Thompson 6 6 7
Joshua Jackson 0 7 3
Charles Scott 6 8 6
Barbara Brown 6 6 7
Ashley Thompson 4 1 2
Ashley Walker 6 4 7
Christopher Wright 9 6 4
Joseph Young 6 5 7
Margaret White 5 4 5
Matthew Brown 6 6 0
Daniel Anderson 5 4 5
Betty Lee 7 4 6
Emily Garcia 4 8 6
Susan Nguyen 6 4 6
Anthony Clark 4 6 4
Ashley White 7 7 6
Joshua Garcia 4 6 5
Sandra Johnson 4 4 4
Michael Lee 7 7 7
Richard Harris 4 3 8
Anthony Gonzalez 6 9 4
Lisa Lee 5 4 4
